ModelID,BRCA1 (672),NOTCH3 (4854),CTCF (10664),CDK6 (1021),MET (4233),ARID1A (8289),PIK3CA (5290),KRAS (3845),NOTCH2 (4853),APC (324),CDK4 (1019),MYC (4609),IDH1 (3417),BRCA2 (675),RB1 (5925),TP53 (7157),SMAD4 (4089),ERBB2 (2064),EGFR (1956),CDKN2A (1029),NOTCH1 (4851),BRAF (673),CTNNB1 (1499),ALK (238),PTEN (5728),IDH2 (3418),NF2 (4771),NF1 (4763),NOTCH4 (4855)
ACH-001113,5.427941332509482,6.938756261492295,5.159467729266766,3.786596361890807,5.125981653854716,4.7713574089905615,5.138732569720239,4.634012356402116,5.1026581313637385,4.00539998774259,8.14338321398982,7.55405157796163,8.608698375579586,2.9164766444377164,4.986410935252045,4.834913429701039,4.581351247168778,3.3868109464722167,6.17951105027151,0.0,3.0089887832272546,3.7092906357233577,7.819604323414516,0.1763227726404628,5.198886990956932,5.000901402741532,3.693765712217783,5.0925457415435655,0.8073549220576041
ACH-001289,3.810443103845176,2.613531652917927,5.182692297516191,5.782932704820837,1.6644828403646823,5.20945336562895,3.1842802944193824,4.638653116466112,7.063395081288509,2.811471030529836,8.82075337262287,1.1634987322828796,7.731997786643742,2.3362833878644325,4.931683057059805,5.041330606820623,5.127220550488074,1.5753123306874368,1.8155754288625725,4.3348542693316325,1.5310694927259538,2.780310099043376,7.425257871999213,0.0840642647884745,5.0103322832848205,5.343763122149601,4.048759311919856,3.982765462583646,0.9107326619029126
ACH-001339,4.49761236561836,0.5945485495503542,4.470536865092583,3.339137384919585,3.687060688339893,3.849999259466098,3.1651079851445365,4.032100843167024,4.674686619927999,2.350497247084133,8.528336893135771,5.280585202564472,6.82196526586905,2.771885578515366,6.17572418538028,5.866413481123453,5.010779838753242,4.143230134776893,1.372952097911829,0.5655971758542251,2.469885976274464,2.6959938131099,7.637711669476824,0.1634987322828795,3.0461417816447205,5.403949364232865,4.149747119504682,3.845991770664573,0.8073549220576041
ACH-001979,2.127633279725874,0.1634987322828795,4.677508242264722,3.71918344048179,1.4905701304462011,4.084914659767938,3.2735158897021166,3.0373822220030804,4.211790976252541,3.2735158897021166,6.992768430768924,6.03121873061072,7.841407097194598,0.6507645591169022,3.864928972289788,5.134631671447647,4.507160349117523,1.956056652412403,2.9049657186840263,0.0,2.144046369616707,3.4154882710497003,6.656353352457627,0.1110313123887439,5.258141995893771,3.565597175854225,3.431622959713292,3.740927560318628,0.9855004303048848
ACH-002438,3.8904466926799057,4.028569152196771,4.727920454563199,4.218006150284427,5.709014864903272,4.125981653854716,3.595742339474399,4.345538310070007,4.221877081077034,2.794935662803536,7.562013406831769,4.589164236699772,6.352793829401169,2.493134922305505,4.9963887464476215,5.55581615506164,5.056583528366367,5.040454121349624,4.37851162325373,1.992768430768924,0.7048719644563528,2.84799690655495,7.216842842837263,0.0,4.885574364371426,6.6649094418288,4.273515889702116,3.641546029087524,0.4329594072761062
ACH-001538,3.430285272977781,2.873813198359087,4.641546029087524,3.867896463992655,5.5576551547254205,4.229587922740652,3.937344392150232,5.50303064564116,4.671293372481576,2.7484612330040354,8.01357391918829,7.468257468323141,6.372429792334089,2.570462931026041,4.831877241191673,5.642990312961163,3.816599706534912,4.217230716220669,4.767125077269071,6.819029455438522,3.2524762141352173,2.944858445807539,7.803291625562191,0.01435529297707,5.804260115634738,5.004950759951045,2.7463127664254587,5.042644337408494,0.2016338611696504
ACH-000242,4.839959587489532,4.891419186846079,5.235344128172668,0.3103401206121505,3.588564737401352,4.571676809970931,3.033863451866284,3.713695814843359,4.489286022625876,3.021479727410452,8.426138932787612,5.825785627464791,8.50020452359068,3.2555007331483865,3.608809242675524,5.35508676166836,2.671293372481576,6.447083226209652,5.064365540263628,0.1505596765753814,3.426264754702098,3.7441610955704094,7.471106152018216,0.0285691521967709,4.463360885816658,6.468583317006828,4.270528942380718,4.4495613746132365,0.1763227726404628
ACH-000708,4.41006969175638,2.111031312388744,5.084489524936252,2.82781902461732,4.5576551547254205,4.443606651475615,2.2387868595871168,3.972692654004264,3.3603642765434705,1.459431618637297,7.914624315650149,6.668884984266247,7.439872429676659,2.974529312483882,4.269781238274379,1.1243281350022014,3.64961545906341,5.485748821377781,3.61706334388818,5.455162801244506,5.166715444966423,2.550900664647523,7.363959506890696,0.0285691521967709,4.797012977836145,8.546817308357316,3.114367024952,3.902073579310743,1.0071955014042038
ACH-000327,3.119356177039676,1.3504972470841332,4.121844297876376,3.4841381312016693,5.57924050057297,3.363171077119244,1.6415460290875237,3.2357270598380583,3.563158130402808,2.9708536543404835,5.888499735514123,6.836429131161648,6.124328135002202,1.7355221772965377,2.678071905112638,3.065227622775619,3.7548875021634687,4.7564896067599705,2.7548875021634687,3.177917792195843,1.835924074254375,1.9708536543404835,5.148120631123964,0.0840642647884745,4.36667191611176,7.032541697270038,3.358958825832329,3.5160151470036647,0.6690267655096305
ACH-000233,4.683696454306515,0.4114262457264649,5.08533966935737,3.063502942306158,4.113533819591914,5.207892851641333,3.460742563789644,4.135042286233651,4.788163657037767,3.611172380044005,6.118733475767844,5.628190334615213,5.006298023900369,3.476381687567235,3.9476661567960094,5.284662185483165,4.440287820840419,1.6507645591169022,0.2016338611696504,5.843230150496545,5.236492618381302,4.0522419811811385,6.72328550477764,5.642123916153487,6.262282806420656,4.512858954449976,3.787641414483326,4.36737106564853,0.5945485495503542
ACH-000461,4.747924416238441,4.030336078370959,5.299757511839318,3.7495342676692616,4.860466258517167,4.562547724199122,2.75702324650746,9.017365205292732,4.565597175854225,2.3868109464722167,7.820242797066683,7.810186007695356,6.303780748177103,2.788685710613534,3.9240998856407416,7.222166982623451,2.8619553641448694,5.779259720372376,5.558879853475442,0.3673710656485294,4.377123749129487,3.2203299548795554,7.457134594318036,0.2016338611696504,4.705425039042727,6.467605550082998,3.810443103845176,4.687060688339892,1.3561438102252754
ACH-000705,5.4252578719992135,6.427438563715096,5.144454313926194,2.2203299548795554,4.118525848935668,5.035623909730721,4.4276061727819,3.940166750482817,4.349082146391089,3.715893370547605,7.486633935070162,7.30542338930187,8.126136574127711,2.606442228131608,4.356848079236522,5.632849830117706,4.477677327565307,4.07724299893246,4.566206293465506,0.4541758931858022,3.144046369616707,3.910732661902913,7.196430000954568,1.1043366598147355,4.462052318796433,5.556735947914529,3.611172380044005,5.044831233447812,0.5459683691052926
ACH-001794,4.228049047884462,0.01435529297707,4.542258049766918,3.341985747228616,5.093391153253013,4.346247774082776,3.607626220845488,3.883620816285672,5.787902559391432,3.016139702655253,12.592059867711876,3.797012977836145,6.285772093249838,1.6040713236688608,3.794935662803536,5.259649120649155,4.773996325111173,4.6904170955324656,4.891419186846079,7.2299723851122515,1.7570232465074596,2.16349873228288,6.2502036564992975,0.0,4.903520373723376,5.521364878446219,5.28021399581062,3.4436066514756147,0.7136958148433591
ACH-002023,5.004501392234941,2.2357270598380583,4.898692072560488,5.1081062236861285,7.8786640428018915,3.938285791884053,3.697106574476975,4.472487771462744,4.150559676575382,2.4276061727818994,7.831497267955407,6.40667271575583,7.441284271927038,2.568032104771279,4.16430358309365,4.517275693209582,4.4376272483189485,8.01351809057768,5.817367437838646,6.37364821133469,1.7484612330040354,2.803227036434928,6.190022174802645,0.4541758931858022,4.187451054027326,5.29020320512607,4.0900065299038175,4.90977310414164,0.722466024471091
ACH-000528,4.29130885982897,4.822220271621528,5.113533819591914,2.978195629681652,5.788424707439437,5.249445341085838,4.2433644256936605,3.912649864897204,4.527946098908258,2.797012977836145,8.247595275675064,4.795455272044121,6.187055089968057,2.521050736900963,3.572889668420581,6.447413892046738,4.612352498752662,5.944624223055033,6.508270175567795,6.087674986687217,3.729008870337863,3.0,6.42240121557753,1.0214797274104517,5.279842693520347,7.454587186925478,5.204766750654613,2.3103401206121505,0.0840642647884745
ACH-002501,4.549053029337288,3.07210580048042,5.804001915179304,4.57106999816771,4.532940288372874,5.315783574589461,3.761285273361619,4.922673592849446,4.22650852980868,2.954196310386876,8.266083758327726,3.471187460386985,6.201437829504034,2.763411574470007,5.110196177754199,5.403267722339301,5.161484638641659,1.9297909977185967,0.0285691521967709,0.3103401206121505,2.611172380044005,2.488000770834068,7.9949756417047055,4.309612772454123,3.456806149230474,7.071140535948406,3.564378168565064,3.939226577728209,0.4541758931858022
ACH-001655,2.821710215034674,0.9411063109464316,3.403267722339301,3.1176950426697547,4.232660756790275,2.3362833878644325,2.3868109464722167,2.3362833878644325,3.4672794804599825,1.4646682670034443,6.409051438538562,4.475733430966398,3.953265239014844,0.8875252707415875,3.824767853143294,5.842476062993939,2.6622054996536164,3.203201156316611,3.722466024471091,0.0,1.292781749227846,2.140778655782796,5.0103322832848205,0.01435529297707,5.342341397431548,6.136888607903066,4.7755773609306535,2.9616233282869446,1.111031312388744
ACH-000167,5.016139702655253,0.1110313123887439,4.862451391325582,3.983677694698067,0.1763227726404628,4.777156666004501,3.4789718050329426,5.281698250098829,1.01435529297707,2.853995647176393,7.972003303808356,7.11467935294331,6.214124805352848,3.6016965164809576,4.936402377725063,5.848748114611959,4.395062799517578,1.82781902461732,0.0976107966264223,4.0,2.985500430304885,3.64961545906341,6.831750594565521,0.0285691521967709,5.524502537449162,6.693765712217783,3.82781902461732,3.5397791916984938,1.263034405833794
ACH-000792,4.564378168565064,5.527007760637202,4.620586410451877,4.07638806851284,5.999323578150824,4.298658315564516,3.733354340613827,3.4581194811745064,5.933100474931368,2.7484612330040354,7.107897061664612,6.071462362556624,6.372429792334089,2.454175893185802,4.1034976397033365,4.76394266044725,5.24450655139592,2.91456452349394,4.638073837180719,0.2016338611696504,2.6959938131099,3.45022149589718,6.725741156503952,0.137503523749935,5.963705306579481,6.625270489374693,4.336283387864432,4.454833906898869,0.2630344058337938
