ModelID,NF2 (4771),MET (4233),BRAF (673),NOTCH3 (4854),EGFR (1956),CDK6 (1021),NF1 (4763),RB1 (5925),CTNNB1 (1499),IDH2 (3418),CDKN2A (1029),CTCF (10664),NOTCH1 (4851),PTEN (5728),APC (324),SMAD4 (4089),BRCA2 (675),TP53 (7157),PIK3CA (5290),ERBB2 (2064),NOTCH4 (4855),NOTCH2 (4853),ARID1A (8289),CDK4 (1019),MYC (4609),IDH1 (3417),KRAS (3845),ALK (238),BRCA1 (672)
ACH-000628,0.689613059147855,0.7897790478630479,0.729781760964857,0.964199107878898,2.53456295693235,0.7660853299896421,0.7025958693932475,0.6989896505999725,0.6776733769421716,1.2730296312142997,1.1034115598472956,0.9811665803428142,0.9796688000720593,0.7318115040089023,1.1580985285802432,0.5650737199429042,0.6989896505999725,0.9941676057782488,1.4971927839695818,0.6980817981005341,1.3639927726359593,0.7001776907142152,0.999906429508616,0.7179598139084024,1.3386780161756626,1.0600174392581003,0.7283016405322598,1.0430996580835163,0.6980817981005341
ACH-000974,0.91093435663001,0.9507355421172748,0.9507355421172748,1.0229729520770674,0.975396026264448,0.9507355421172748,0.9636472237380076,1.023623376704975,1.0359899444702223,0.8908250299984253,1.0394072304480615,1.043705726175968,1.0190345737404305,1.0305767853551249,1.0290306828138236,1.0567887400158824,1.023623376704975,0.9819476376485734,1.0216280205508794,0.9891697320591786,0.9936254284522004,1.021628728689707,1.021628728689707,1.0418921884217829,1.2894635569521014,1.0224937324865522,1.0415073351083872,1.016792997594024,0.9891697320591786
ACH-003071,0.7433780526028966,1.21021636619076,1.1207612647797611,0.7643339403745505,1.1944231228465638,1.1947551613088254,1.0341252995135406,1.0742255940019003,0.7214353393172572,0.7701225788272198,1.2652223971584022,0.783756821656617,1.1591698692776469,0.7670949134285854,1.064159202521754,1.405735338523491,2.181577914317391,1.442266731535197,0.8295414639356647,1.0834728482103309,1.3885999263191522,1.1719434850812422,0.7459356069438197,1.120335630446444,1.1007012890607284,1.2396673135016874,0.7791618792865213,0.6994738364216866,1.1362639447969645
ACH-001338,1.41205095030561,1.6111613721175737,1.4510145640268348,0.924157083800965,0.9595188141285208,1.5019647976132218,0.9529853888167537,0.9941717404136842,0.4906496037056578,0.9888694672290936,0.9960416667689752,0.98413695243719,0.9960416667689752,0.5028946114372529,1.074583804601459,0.9929073440571063,0.9532774006842962,0.9359497626738708,1.239968954632056,1.9571780391925413,0.9561832244706646,0.8947924571217912,1.4634515665182115,0.9983731220758116,1.0022108071554678,1.0424079558675938,0.9983731220758116,0.9998184119278036,1.9102162886673293
ACH-001608,0.7704002091712574,1.2682551334480974,1.2682551334480974,0.80394460361763,0.4739198518967921,1.27943069438901,1.0808123013376612,0.7128962316281799,1.1062841572190876,0.8423852030598885,1.5342938902090455e-09,0.8015869908569639,0.7923627697884293,1.358164284935693,1.2870508018080515,0.9321047504669764,0.7518537695941724,0.8138320487209393,1.1431003026172546,1.0883042970274337,1.082412946286837,1.5286074852078058,1.008399983707654,0.7905562376106188,1.7161004478202524,1.3920721626703507,0.8631432986723923,1.10481667540458,1.0883042970274337
ACH-000278,0.576741203461638,1.0731025853841958,1.6117611902866866,1.1382149232290617,1.186556665593718,1.110450435330524,0.5567108091143432,0.5656319134205192,0.9921368245453024,1.1143844252962158,0.618026240805507,0.6061139700183147,1.088464232049824,1.7254468090545338,0.6141806646980563,0.6142509121184082,0.585193236330037,0.5726811410502448,1.032712733499591,0.6138057219893098,1.097266526850525,1.2003166110882888,0.5725866741907617,1.1400878529940706,2.6751244333492337,1.1484682713223946,1.1544094380797885,1.1738491326819562,0.6138057219893098
ACH-001350,0.9848671255531852,0.7648973209612943,0.7648973209612943,2.48643204094514,0.730428518790525,0.7369644843358834,0.9654182470144091,0.700923062879822,0.95572005646587,0.9622762319491474,0.6093005720660272,1.3275498170645286,1.1912572546123712,1.0143496216791767,1.3451937677298689,1.3603717953435026,0.700923062879822,0.6450969942871954,1.6455569994893182,0.9629414598413644,0.9454132569641782,1.2404451985315013,1.011396015540959,1.0098618888422692,1.844565474894524,0.6808401395297655,1.7383589356512856,0.965942354768028,0.9629414598413644
ACH-000150,1.0824429575621566,1.9830018176996809,1.7505848619021611,0.8975635534261713,1.952820032740772,1.9567805921082555,1.273155820224776,0.7181026541883311,0.4583904840775002,1.1420667706708687,0.0023111884353368,1.3230824791011675,1.2441616996182427,0.8968608063571715,1.0250213786328917,0.912047583503398,0.7181026541883311,1.0356496240564077,1.1878675654403696,1.273155820224776,1.5638650238834693,0.7195096791721449,0.6299638726474382,0.7295496145039955,0.4925684061649298,1.217475719099171,1.0109278250145248,1.4961004056431155,1.273155820224776
ACH-001132,0.9882630458546462,1.0908713726966648,1.4920097878906748,0.9808456290231264,1.0604142774952976,1.0373847020134714,1.198687836864274,1.0382169884493058,1.0011040993808986,0.7647822791599459,0.810992793616967,0.775574352067339,0.7282087595332776,0.9975693191494868,1.0914295426476102,1.073683664535618,1.0382169884493058,0.4823368701524662,1.043629767563602,1.2179331933323254,0.989404248807039,1.0505748842651104,0.974934364030248,1.295924796533326,1.0456956384759917,1.049230753879267,1.3561248457052766,1.0080987728027295,1.2179331933323254
ACH-000324,0.993241880631612,4.408754062374663,0.7206801428853497,0.6665578517740407,1.0769348682299569,0.7507669256128927,1.213193774576779,0.7461750363458532,0.6959695056676172,0.7976412910676566,2.591191280323012e-07,1.0074693858566128,1.0132238908970892,0.8538922871366822,0.7396373579440075,1.1802520591742,0.7230433241716915,0.9187466566864564,1.0993684635681151,1.2297030720853508,0.987805563930074,1.5420002509054058,1.2995877050449862,1.1223386074480244,1.2989707997074529,1.0627623322149329,1.4199725098988225,1.0046897058791036,1.5805647008659895
