ModelID,ALK (238),APC (324),ARID1A (8289),BRAF (673),BRCA1 (672),BRCA2 (675),CDK4 (1019),CDK6 (1021),CDKN2A (1029),CTCF (10664),CTNNB1 (1499),EGFR (1956),ERBB2 (2064),IDH1 (3417),IDH2 (3418),KRAS (3845),MET (4233),MYC (4609),NF1 (4763),NF2 (4771),NOTCH1 (4851),NOTCH2 (4853),NOTCH3 (4854),NOTCH4 (4855),PIK3CA (5290),PTEN (5728),RB1 (5925),SMAD4 (4089),TP53 (7157)
ACH-000001,0.0565372224285785,0.8938697334975415,0.7883386821432106,0.1915272824718139,0.4020276458038852,0.0566847844549239,0.2261194364757526,0.0246294401417481,0.0228090067414694,1.0,0.0711616163682718,0.0257800525165307,0.5170218176729429,0.2509603537525363,0.043242210904024,0.2310300131538605,0.0397165230279755,0.7491675736260123,0.3524796569484534,0.0039288399620526,0.0386481947838095,0.0146770015964963,0.0230270685405779,0.1483523271194396,0.3318236448599694,0.0035440627488445,0.0020010863063787,0.015009493357494,0.0238392617581834
ACH-000004,0.0567569593538531,0.904781177018643,0.6029484826596627,0.0083944497458438,0.2711322493400136,0.3111178285376447,0.8859412350073155,0.6678483389544748,0.0035781416712807,0.9999328782022154,0.2259844710393564,0.0949157049684285,0.2669266073449908,0.3567793033758351,0.0280213108436834,0.1687945911509653,0.078045609198333,1.0,0.0083492485395694,0.0109941849341761,0.0159616633681596,0.0566949828665249,0.0281381925416571,0.0163844266757835,0.4549855248939179,0.0053320733523563,0.1460214005081625,0.0908151784351734,0.0418591743320293
ACH-000005,0.0178427865112056,0.1070246917650449,0.1221198487638448,0.0074836730479146,0.0060668563703987,0.2218390477434795,0.9815174843358688,0.998753444966608,0.0144254538006123,1.0,0.0480128756792774,0.1420517388800109,0.1309948641356109,0.0836845990874973,0.0089837424617066,0.8104446551597416,0.0955724715476329,1.0,0.0426264566680486,0.0031263495848085,0.0507281855850215,0.2325638024598084,0.0142725299976945,0.0472334322597072,0.417418658028924,0.002638742290571,0.0022457190675934,0.0717640095541616,0.0562423668235464
ACH-000007,0.0132934346770135,0.054029832562353,0.6109195080695711,0.0172096635555096,0.8140507508636952,0.3308518694586404,0.8687087112042735,0.9999112777310843,8.596335983636352e-05,0.9999398931252268,0.9620429615418176,0.723188128454867,0.8705833195114141,0.0050348398062377,0.0151794832314601,1.0,0.0220079440893646,1.0,0.0026529848662181,1.7955888818827875e-09,0.0585891810150072,0.0727925972805523,0.0067404298533195,0.0341276091470204,0.6536161863743342,0.0,0.0002963135419841,0.5381783060801293,0.0
ACH-000009,0.0675753127325671,0.1015928035862006,0.0021238992613549,0.0401603888931717,0.8300014043856432,0.358114511992279,0.6336134280924968,0.1570594151057735,0.0064836824324814,0.9986790487978624,0.9380487676433008,0.9927574215378572,0.9762191045504408,0.3224862276219158,0.0707792146223072,0.9927745647907312,0.0758270934996527,0.9993359914224595,0.0002116490688056,1.605872102973543e-07,0.0482964892140804,0.0800245334545928,0.044265537347138,0.0682624225271908,0.421169033283677,0.0027186719959234,0.0035638691227374,0.3497469639237123,0.0135824264794363
ACH-000011,0.0240612450465018,0.0479473913332539,0.1110060198779476,0.0080734676056024,0.7831942783819221,0.6555955760032005,0.5541184779694166,0.96871814962815,0.0010208208499579,0.9999834516690496,0.1173584994759397,0.0792260973074798,0.2962384112608302,0.0369291499872694,0.0080615235385384,0.0230726694548206,0.0382954301209907,0.9999723303904005,0.0633123859577837,0.008186039349259,0.0110690173143788,0.0720924103996943,0.0375928270116585,0.0650621937424867,0.970346632866912,8.993404413666096e-05,0.0004581994085761,0.0355284960280483,0.0
ACH-000012,0.0256054090692267,0.1869554125953714,0.262642060354237,0.0676503919917499,0.3188533018541466,0.5379759636733431,0.9794790580978288,0.0322475973356026,0.0113056157671963,0.997618525190984,0.0752104765263219,0.0772901411718209,0.1666365423434157,0.0522388520258983,0.0370358210437108,0.0956891113864729,0.0594229962620139,1.0,0.0110437272281255,0.263324530187888,0.0387996792359008,0.0579474753931468,0.0799367778838711,0.0516231833384705,0.471973530031273,0.0360697947927453,0.0002762847826799,0.0700061864960274,0.0016689354121902
ACH-000013,0.0613093850012948,0.9301919441468302,0.8684269410692093,0.0027332455366723,0.96777959597468,0.4049068468580826,0.6463553209293479,0.043398670006635,0.0302957749685217,1.0,0.0491987256943312,0.121645022380776,0.2965236853679439,0.0584975568119297,0.0181484677626901,0.0979678549650142,0.0785123749587965,0.9908497001694156,0.2966853843854928,0.0226231034994095,0.0463786103922549,0.8120627852529617,0.0240924224915684,0.0388453860095305,0.7033497597573432,0.0001085360728297,0.0001388808339814,0.0064417086965776,0.0134731101025068
ACH-000014,0.0228549785833629,0.1419939522517826,0.0150283050990738,0.9994023574577304,0.6162760685220643,0.5659202671271639,0.5548454595491066,0.9852423466029973,0.0004929012175885,0.999899177001872,0.0705742124407535,0.087230031821585,0.1782539262569864,0.0129703778364536,0.0057700192647707,0.1860267854021438,0.0108341710498536,0.9839807466148128,0.007316877278082,0.0014155694735648,0.1922466756716941,0.0161440144739035,0.0006814757346155,0.0539874394764158,0.0053176452168516,0.0050915371465861,0.0010712698832248,0.0605440026366542,0.0
ACH-000015,0.0358329439016535,0.0970355043501922,0.0125203959976585,0.4046635678610953,0.377152981795867,0.8829252636549993,0.4657914539022944,0.8132884032764616,0.0017202749505194,0.981308003964974,0.990939349896966,0.0683687442680154,0.3491418866139771,0.0342922919296734,0.0685599252876545,0.2145515140993011,0.1221408396972173,1.0,0.0005805044040731,2.231091503999574e-07,0.0038763286854571,0.0167485997705975,0.0561453355872189,0.1117553954111204,0.2608367356775716,8.339491208896902e-07,0.0015793234466903,0.0669293691865841,0.0002984984990355
ACH-000017,0.0901125970643826,0.9622218151644242,0.6137174842944417,0.0364169690108577,0.3226492327208217,0.183134222011186,0.931171930501116,0.4810316779887724,0.012424418575336,0.997814502774127,0.0419279095319943,0.0660247336391835,0.9999999999997676,0.0861619123157185,0.0369587048578724,0.6389468020952238,0.0443438418973773,1.0,0.0160037421833398,0.0013136845672354,0.0362116850826751,0.0749859676636249,0.0280509160993049,0.1260794218951947,0.9574924843341672,0.0,0.0219932603852783,0.0057537332172217,0.0423638983784013
ACH-000018,0.0147710133280423,0.287773330091072,0.1373127631804922,0.015326321936762,0.1692324389630904,0.0505697958931238,0.9376771731254429,0.7041544215410785,0.0035772806734293,0.9962763408277064,0.0137338027257758,0.0299875374518277,0.1241658643226707,0.0579001309048207,0.0125262263225502,0.7791613375863967,0.0372821527985355,1.0,0.0098268855331987,0.0,0.1242416312654906,0.0089182665689758,0.0032598170078321,0.016163163658429,0.4390182491319047,0.0001332996297967,0.0025437007199661,0.0671892546617728,0.0093297962971879
ACH-000019,0.0848103934697504,0.104523553161984,0.3301261046666195,0.0073821953595815,0.2657828853300907,0.7387940395967862,1.0,0.2257675436574565,0.0028604410061346,0.9787452901895104,0.0607424955159759,0.237655035144531,0.0675834391279979,0.139702272437622,0.0901629057719371,0.544725180322918,0.0116585109131014,1.0,0.014571749440951,0.0027093965902123,0.0143126346556028,0.4332055485495989,0.0205114152001097,0.1052732410226088,0.9839347904156968,0.0002190750939098,0.006688149200091,0.0164175484735919,0.0002863601220752
ACH-000021,0.0410901730626799,0.2530360630816299,0.0530369114065064,0.0745805503819385,0.8529760462710045,0.8695561044075316,0.7930484919635439,0.4551518854909328,0.0046395403552142,0.8320235599101038,0.0431880128816964,0.0513279065396527,0.5660470258868336,0.2495081784323251,0.0220929812899749,0.4051862329342229,0.0285231346197155,0.9368601751832656,0.0123383166799259,0.0046458478028099,0.0248646490826376,0.0245749601262067,0.0166328456335018,0.0610995826184502,0.1667560187553819,0.0139782588941623,0.0019381634515676,0.0438771546447049,0.0042537831979587
ACH-000022,0.0711181445720886,0.2267085321205755,0.2038860296259277,0.2571864395622916,0.1627454873252386,0.1038798189309815,0.6190063035759958,0.7797535872052405,0.0098581072176298,0.999960617725444,1.0,0.5220627007822084,0.418793534355756,0.0374230352323157,0.0412280007165388,1.0,0.0347978474824915,1.0,0.0163843024643005,0.0110320024828755,0.1132264315630212,0.0444876184364954,0.0455935849282684,0.0519102738029762,0.785083248915595,0.0004161306572878,0.0083716573867504,0.040966781642236,0.0016308543034355
