ModelID,BRCA1 (672),NOTCH3 (4854),CTCF (10664),CDK6 (1021),MET (4233),ARID1A (8289),PIK3CA (5290),KRAS (3845),NOTCH2 (4853),APC (324),CDK4 (1019),MYC (4609),IDH1 (3417),BRCA2 (675),RB1 (5925),TP53 (7157),SMAD4 (4089),ERBB2 (2064),EGFR (1956),CDKN2A (1029),NOTCH1 (4851),BRAF (673),CTNNB1 (1499),ALK (238),PTEN (5728),IDH2 (3418),NF2 (4771),NF1 (4763),NOTCH4 (4855)
ACH-001113,5.456149034647996,6.965207091199342,5.189033824390017,3.8135246892978105,5.153805336079035,4.797012977836145,5.172327491657617,4.639232163249277,5.129283016944966,4.033863451866284,8.176372643703292,7.580974554553021,8.638363505897862,2.941106310946432,5.014801602351361,4.863938450423972,4.613531652917927,3.412781525338476,6.208088008224774,0.0,3.033863451866284,3.753818443173543,7.851311794847811,0.0426443374084937,5.23342794374847,5.030336078370959,3.723558561472103,5.117279460053921,0.7990873060740036
ACH-001289,3.819668183496456,2.6229303509201767,5.192194165283345,5.794155897876407,1.6735564239901446,5.219168520462161,3.196921733820329,4.640389560054945,7.074676686294496,2.821710215034674,8.83731255552431,1.1699250014423124,7.743286061809871,2.339137384919585,4.94251450533924,5.0522419811811385,5.136273429850582,1.5801454844233804,1.8237493603082728,4.355439197248685,1.5360529002402097,2.811471030529836,7.437377567905123,0.0840642647884745,5.025028794491522,5.355439197248685,4.058316495590823,3.991861930556323,0.918386234446348
ACH-001339,4.505890929729957,0.5945485495503542,4.479618608469416,3.349082146391089,3.697106574476975,3.857980995127572,3.1667154449664223,4.032100843167024,4.682573297347578,2.358958825832329,8.545157551729474,5.289834465177509,6.831877241191673,2.776103988073164,6.18566835930362,5.876025732722702,5.024142345897803,4.153805336079035,1.3785116232537298,0.5753123306874368,2.4776773275653072,2.724650271732968,7.648681140873404,0.1634987322828795,3.056583528366368,5.415150205426387,4.157852169141737,3.853995647176393,0.8155754288625725
ACH-001979,2.144046369616707,0.1634987322828795,4.698774108903683,3.738767836800192,1.5058909297299574,4.1026581313637385,3.2883585621936606,3.0426443374084937,4.232660756790275,3.2942531364445142,7.026578770127714,6.0522419811811385,7.863690713660095,0.6599245584023783,3.885574364371426,5.156639310692087,4.529820946528695,1.9745293124838816,2.9240998856407416,0.0,2.1602748314085933,3.469885976274464,6.679902289931584,0.1110313123887439,5.284292026394312,3.587364990936461,3.45022149589718,3.758089934201813,1.0
ACH-002438,3.9001422603598166,4.038260575175349,4.738227400367242,4.228818690495881,5.720552091605108,4.135042286233651,3.602884408718418,4.333423733725192,4.23342794374847,2.805292455600712,7.588864518190148,4.599317793698226,6.365097589751472,2.500802053057157,5.008092420948722,5.567727963304803,5.072534599722955,5.056583528366367,4.389566811762726,1.996388746447621,0.7048719644563528,2.873813198359087,7.229587922740652,0.0,4.900142260359816,6.677226328235317,4.284662185483165,3.651912744645783,0.4329594072761062
ACH-001538,3.428946344769483,2.881664619320345,4.648465443027314,3.875780063068488,5.565901766806668,4.236492618381302,3.944858445807539,5.509379148914689,4.679198570566922,2.7548875021634687,8.025084179448086,7.475409193401062,6.380590934265922,2.572889668420581,4.840463233869542,5.651338766105931,3.820689560559215,4.22573765346606,4.7755773609306535,6.830863756751758,3.2600256559614555,2.9653225483672547,7.812434047080439,0.01435529297707,5.814550423461808,5.013462259806563,2.752748591407134,5.049630767724601,0.1763227726404628
ACH-001794,4.24412594328373,0.01435529297707,4.556429415449573,3.356143810225275,5.10936055940423,4.358958825832329,3.608809242675524,3.873813198359087,5.804518269888069,3.032100843167024,12.612960620469826,3.805292455600712,6.302319050948834,1.6088092426755238,3.810443103845176,5.2761244052742375,4.800123352826528,4.707635219545296,4.907852071845964,7.2510562851722415,1.765534746362977,2.2141248053528475,6.26697389152185,0.0,4.922197848396367,5.541328977045604,5.299757511839318,3.456806149230474,0.7048719644563528
ACH-002023,5.044394119358453,2.269033146455237,4.94251450533924,5.149747119504682,7.92148393743373,3.973611275519472,3.7246502717329673,4.511594541537413,4.191404728852764,2.4646682670034443,7.877437521970619,6.448240225216066,7.486231677981013,2.596935142387232,4.205548911173033,4.558879853475442,4.482202926295956,8.087887100933116,5.8594726668519375,6.426600226169925,1.7739963251111732,2.849999259466098,6.235918487562202,0.4646682670034443,4.23342794374847,5.331633567171029,4.12350066435096,4.944858445807539,0.7398481026993275
ACH-002501,4.560714954474479,3.0806576633452254,5.815831566464824,4.583759753639499,4.545968369105292,5.32660925100527,3.777156666004501,4.928844036712568,4.238786859587116,2.9653225483672547,8.280167588249991,3.4828482830684653,6.214901910160696,2.769771739249448,5.123086750981061,5.416164164733128,5.177519202597814,1.944858445807539,0.0285691521967709,0.3219280948873623,2.6205864104518777,2.500802053057157,8.010052490595216,4.320484678017694,3.471187460386985,7.084595820389672,3.576522137920503,3.949534933017012,0.4646682670034443
ACH-001655,2.849999259466098,0.9560566524124028,3.430285272977781,3.1473066987802936,4.2630344058337934,2.361768359419153,2.430285272977781,2.353323291162897,3.495695162624069,1.4854268271702415,6.413627929024172,4.500164679492167,3.983677694698067,0.903038270112912,3.854993016757,5.873321062914816,2.693765712217783,3.23112515787905,3.752748591407134,0.0,1.3161457422933562,2.15704371014558,5.036942844798256,0.01435529297707,5.380937194927824,6.172127436878001,4.808899839257769,2.990954860396993,1.1243281350022014
