ModelID,ALK (238),APC (324),ARID1A (8289),BRAF (673),BRCA1 (672),BRCA2 (675),CDK4 (1019),CDK6 (1021),CDKN2A (1029),CTCF (10664),CTNNB1 (1499),EGFR (1956),ERBB2 (2064),IDH1 (3417),IDH2 (3418),KRAS (3845),MET (4233),MYC (4609),NF1 (4763),NF2 (4771),NOTCH1 (4851),NOTCH2 (4853),NOTCH3 (4854),NOTCH4 (4855),PIK3CA (5290),PTEN (5728),RB1 (5925),SMAD4 (4089),TP53 (7157)
ACH-000001,-0.1033123342736526,-0.8163666303067838,-0.7068719409388843,-0.2782206480564186,-0.4338287318565519,-0.1036236293633937,-0.3079884730524881,-0.0070492523651611,0.0014194026238508,-1.9205665838659165,-0.1322197953749554,-0.0121821466052654,-0.5082821032780035,-0.3278498387390798,-0.0710668360939738,-0.3120273431322304,-0.0611231413417025,-0.673537383598112,-0.4009037980610348,0.1946440129034581,-0.0579177090362741,0.0494713033377187,0.0003600556252198,-0.2361050079583873,-0.386788976724271,0.2061204561540787,0.2687443145936088,0.0469712965746348,-0.0035242580555693
ACH-000004,-0.1021660819626047,-0.7430325766397534,-0.4932255160839576,0.0960985819214652,-0.309677891442577,-0.3340363816195675,-0.7148474402661723,-0.5309917837213086,0.1879442121316037,-1.5938069744237264,-0.2798482128491521,-0.1615260598965122,-0.3070040296140883,-0.3602685103213242,-0.0271126462603627,-0.2364157838238181,-0.1382173942267267,-2.283901410704983,0.0966434902348744,0.0681514211231937,0.0302263968357814,-0.1020494718220041,-0.027544187163235,0.0275333309039389,-0.4135207394989135,0.1442749509717433,-0.2164117884337542,-0.1561256048546114,-0.0691008134403258
ACH-000005,0.0181036907282955,-0.2322774177760891,-0.2516986830973885,0.1419978520794077,0.1723851010059742,-0.345665731047811,-1.066062509776356,-1.3945097955674566,0.0479298009571958,-1.803104633438122,-0.1189171425062769,-0.2744163339306351,-0.2621673984153166,-0.1968800328869902,0.1155742366714469,-0.7146700630338743,-0.2158957204438982,-2.2443138918710197,-0.1023846979876572,0.2635684260576662,-0.1265660827630678,-0.3537186175210935,0.0494198586473838,-0.1166611083748837,-0.4692665313460694,0.2848144209289093,0.3040608384202864,-0.1750543662684306,-0.1408797470800039
ACH-000007,0.0104148432207964,-0.127386569427801,-0.5196356856786354,-0.0136730432619219,-0.648327576993712,-0.3724856987099487,-0.6998727888391018,-1.6396253542160022,0.4594404209076672,-1.6580954620325483,-0.9420787490781372,-0.5840519101843223,-0.70197295900742,0.1002521095756712,-0.0019032018393563,-2.1936453223830323,-0.0370504980387948,-2.0830204348322923,0.1615265621007477,0.8250194673608244,-0.136118367370051,-0.1600546491591265,0.07298047671589,-0.0798489660675786,-0.5430132044338438,0.9825530234010004,0.3688923820973482,-0.4815209178404163,1.3864352255548955
ACH-000009,-0.0727442230412203,-0.1180957852371017,0.2472905578330433,-0.0205033037501058,-0.6812419907251421,-0.3139765798111992,-0.4958470909278116,-0.1731545496199302,0.1412368448509284,-1.7265836691050367,-0.8761085411497979,-1.30572573719261,-1.0342162265335206,-0.2915850745841773,-0.0776619111621863,-1.3123820036360834,-0.0851481463973375,-1.778765025857197,0.4734530652578935,0.8229038487264946,-0.0384454929206317,-0.0909582134441854,-0.029893337527761,-0.0738404797862287,-0.3531380762812312,0.2221701182720932,0.1957417228406802,-0.3087481474913734,0.0769813536983244
ACH-000011,-0.0303436248021871,-0.1078911256675037,-0.2088895655230109,0.0926671576526263,-0.6539827231144452,-0.5646681826654193,-0.5046329499429782,-1.0033217836507773,0.3019508542712037,-2.006858925474386,-0.2161189818872877,-0.1668045697660899,-0.3571445727022748,-0.078284739754593,0.0928335470945048,-0.025645132435928,-0.082469840309575,-1.984426661950649,-0.1400982458838305,0.0910989523254228,0.0568693655875583,-0.1554739350634277,-0.0803176721046629,-0.1433580795449949,-1.0184417390438467,0.4708462404690673,0.3649704066123625,-0.07399434753019,1.2799813214346405
ACH-000012,-0.0236125757130276,-0.2357251337898586,-0.2851697254862591,-0.1166178681317934,-0.3171655076561838,-0.4288739337941138,-0.903569111229803,-0.0445197451438793,0.0466969445184413,-1.4642728761980404,-0.1277004189547979,-0.1306258002078727,-0.2204437665720611,-0.0904924642446528,-0.0573454045733784,-0.1538844341969865,-0.1034180260707326,-2.221691795901397,0.0486732780475851,-0.2855737327178682,-0.0618035763375718,-0.1008481643896724,-0.1342308897772691,-0.0892988926061872,-0.3958379962564369,-0.0549037621700416,0.3740638409664703,-0.1201952826787474,0.2022054966155455
ACH-000013,-0.1046164789097553,-0.7012966128175901,-0.6199927411949056,0.195650617674935,-0.7897066723207754,-0.3521286349312615,-0.4682023159411361,-0.0701331409516243,-0.0355678361690575,-2.0937227770751385,-0.0824684049284056,-0.1786952801308453,-0.2976568328628562,-0.0998413989072778,0.0124279726409024,-0.1542169267661401,-0.1302919726061478,-0.9077018904782868,-0.2977424821037,-0.0080899828556229,-0.0767271049841709,-0.5701373218761334,-0.013915780260781,-0.0593662905356146,-0.4990749296084664,0.4917390717331615,0.4745738464292102,0.1096535008400055,0.0401749476332163
ACH-000014,-0.0306352035075003,-0.2269071439649229,0.0102240646305049,-1.7150105232932844,-0.5049311518206154,-0.4779981546517047,-0.4721959031413128,-1.0366343968527731,0.4284179107124752,-1.8117932202183504,-0.1449636897554623,-0.1685070700583452,-0.2570755832676658,0.0248543618541833,0.1102147169216062,-0.262993030990869,0.042810229762739,-1.0142247842988503,0.083786406926648,0.3063780379520847,-0.2676413792441452,0.0032988758991868,0.395923654558638,-0.1164831190412771,0.1197609580908731,0.1250252200480916,0.3435107115743486,-0.1285802352345305,1.509719350757453
ACH-000015,-0.0838770533134064,-0.178522837004913,0.003182852505414,-0.3728312610461078,-0.3596169613510779,-0.6715592393112391,-0.401623860708004,-0.5956015728813593,0.1617709582702887,-1.0480369118120745,-1.151253279157093,-0.1432147785381647,-0.345890109188089,-0.0800293372086475,-0.1434899645004915,-0.2719553863841426,-0.2033256213393943,-2.7419186752710405,0.2624738914353127,0.7937236057207671,0.0955339490030563,-0.0200593634270563,-0.1244659385614899,-0.1935635774840925,-0.2994386699431022,0.7380582247525228,0.169135651916671,-0.1411429420259393,0.334141109169695
